operation,iteration_number,file_size_label,cpu_percent,memory_used_mb,process_time_sec,encrypted_size_bytes,entropy
decryption,54,500KB file,4.2,0.9772672653198242,0.0033475999953225255,512001,0
decryption,55,500KB file,10.7,0.9772672653198242,0.0033937999978661537,512001,0
decryption,56,500KB file,8.3,0.9772672653198242,0.003558199998224154,512001,0
decryption,57,500KB file,4.2,0.9772672653198242,0.0036382999969646335,512001,0
decryption,58,500KB file,12.0,0.9772672653198242,0.0035624999727588147,512001,0
decryption,59,500KB file,14.8,0.9772672653198242,0.003344600001582876,512001,0
decryption,60,500KB file,3.7,0.9772672653198242,0.0036010000039823353,512001,0
decryption,61,500KB file,8.3,0.9772672653198242,0.0034814999962691218,512001,0
decryption,62,500KB file,6.2,0.9772672653198242,0.00331140001071617,512001,0
decryption,63,500KB file,4.5,0.9772672653198242,0.0033087000192608684,512001,0
decryption,64,500KB file,3.6,0.9772672653198242,0.0033571000094525516,512001,0
decryption,65,500KB file,8.3,0.9772672653198242,0.003344400000059977,512001,0
decryption,66,500KB file,11.5,0.9772672653198242,0.0033424999855924398,512001,0
decryption,67,500KB file,13.0,0.9772672653198242,0.0034624999971129,512001,0
decryption,68,500KB file,16.7,0.9772672653198242,0.003486400004476309,512001,0
decryption,69,500KB file,16.7,0.9772672653198242,0.00341810000827536,512001,0
decryption,70,500KB file,16.7,0.9772672653198242,0.0035712000099010766,512001,0
decryption,71,500KB file,1.0,0.9772672653198242,0.0035136000078637153,512001,0
decryption,72,500KB file,34.5,0.9772672653198242,0.003582700010156259,512001,0
decryption,73,500KB file,4.2,0.9772672653198242,0.003494500007946044,512001,0
decryption,74,500KB file,3.8,0.9772672653198242,0.0034481000038795173,512001,0
decryption,75,500KB file,13.8,0.9772672653198242,0.0034013999975286424,512001,0
decryption,76,500KB file,37.9,0.9772672653198242,0.009836600016569719,512001,0
decryption,77,500KB file,8.3,0.9772672653198242,0.0036652999988291413,512001,0
decryption,78,500KB file,3.4,0.9772672653198242,0.0033202999911736697,512001,0
decryption,79,500KB file,7.7,0.9772672653198242,0.003448600007686764,512001,0
decryption,80,500KB file,3.7,0.9772672653198242,0.0033266000100411475,512001,0
decryption,81,500KB file,17.2,0.9772672653198242,0.0034325000015087426,512001,0
decryption,82,500KB file,12.0,0.9772672653198242,0.003400999994482845,512001,0
decryption,83,500KB file,11.5,0.9772672653198242,0.003796000004513189,512001,0
decryption,84,500KB file,7.4,0.9772672653198242,0.0034229000157210976,512001,0
decryption,85,500KB file,6.2,0.9772672653198242,0.0033380000095348805,512001,0
decryption,86,500KB file,3.3,0.9772672653198242,0.00357070000609383,512001,0
decryption,87,500KB file,3.8,0.9772672653198242,0.003592599998228252,512001,0
decryption,88,500KB file,13.8,0.9772672653198242,0.0033084000169765204,512001,0
decryption,89,500KB file,1.0,0.9772672653198242,0.00344030000269413,512001,0
decryption,90,500KB file,20.0,0.9772672653198242,0.0033457000099588186,512001,0
decryption,91,500KB file,3.8,0.9772672653198242,0.003431699995417148,512001,0
decryption,92,500KB file,12.5,0.9772672653198242,0.003494200005661696,512001,0
decryption,93,500KB file,11.1,0.9772672653198242,0.003326700010802597,512001,0
decryption,94,500KB file,7.7,0.9772672653198242,0.0034798000124283135,512001,0
decryption,95,500KB file,1.0,0.9772672653198242,0.003312999993795529,512001,0
decryption,96,500KB file,3.7,0.9772672653198242,0.0035158000246156007,512001,0
decryption,97,500KB file,3.8,0.9772672653198242,0.0034379000135231763,512001,0
decryption,98,500KB file,4.3,0.9772672653198242,0.0033201999904122204,512001,0
decryption,99,500KB file,4.2,0.9772672653198242,0.0035014000022783875,512001,0
decryption,100,500KB file,4.0,0.9772672653198242,0.0034758000110741705,512001,0
